simplified	pinyin	pos	classifier	definition	new_hsk	sentence_1	translation_1	sentence_2	translation_2	sentence_3	translation_3
擅长	shàn cháng	verb		to be expert in	L5	他擅长修理电器。	He is an expert in repairing electrical appliances.	她擅长处理复杂的问题。	She is an expert in handling complex problems.	这位老师擅长语言教学。	This teacher is an expert in language teaching.
擅长	shàn cháng	verb		to be good at	L5	她擅长画画，获了很多奖。	She is good at painting and has won many awards.	他擅长打篮球。	He is good at playing basketball.	你最擅长哪门课？	Which subject are you best at?
伤	shāng	verb, noun		to injure	L5	他摔倒了，伤了腿。	He fell down and injured his leg.	她不小心伤了手指。	She accidentally injured her finger.	这场事故伤了很多人。	This accident injured many people.
伤害	shāng hài	verb, verbal noun		to harm	L5	他的话伤害了她的感情。	His words harmed her feelings.	吸烟会伤害你的身体。	Smoking will harm your body.	我不想伤害你，但必须说真话。	I don't want to harm you, but I must tell the truth.
伤害	shāng hài	verb, verbal noun		to injure	L5	他在运动中伤害了膝盖。	He injured his knee while exercising.	不要伤害无辜的人。	Do not injure innocent people.	这场车祸严重伤害了他。	This car accident seriously injured him.
商家	shāng jiā	noun	家	merchant; business; vendor	L5	很多商家在节日期间打折。	Many merchants offer discounts during holidays.	这家商家的服务很好。	This merchant's service is very good.	消费者应该选择可信的商家。	Consumers should choose trustworthy merchants.
商人	shāng rén	noun		business person	L5	他是一个成功的商人。	He is a successful business person.	那位商人经营着多家公司。	That business person runs multiple companies.	古代的商人走丝绸之路做生意。	In ancient times, business people traveled the Silk Road to do business.
商务	shāng wù	noun		commerce	L5	他学习商务，希望开公司。	He studies commerce, hoping to start a company.	这次商务旅行很顺利。	This business trip went very smoothly.	商务活动促进了两国关系。	Commerce activities promoted relations between the two countries.
商业	shāng yè	noun		business	L5	他对商业很感兴趣。	He is very interested in business.	这个地区的商业发展很快。	The business in this area is developing quickly.	她在大学学的是商业。	She studied business at university.
商业	shāng yè	noun		commerce	L5	商业推动了城市的发展。	Commerce has driven the development of the city.	古代的商业以丝绸之路为主。	Ancient commerce centered on the Silk Road.	网络促进了商业的增长。	The internet has promoted the growth of commerce.
赏	shǎng	verb		to award	L5	老师赏了他一本书。	The teacher awarded him a book.	领导赏给出色的人很多钱。	The leader awarded a lot of money to those who performed outstandingly.	老板赏了努力工作的员工一笔奖金。	The boss awarded a bonus to the hard-working employees.
上传	shàng chuán	verb		to upload	L5	他把照片上传到网上了。	He uploaded the photos online.	请上传你的简历。	Please upload your resume.	这个文件上传需要一点时间。	Uploading this file will take a little time.
上升	shàng shēng	verb, verbal noun		to ascend	L5	飞机开始上升到云层之上。	The plane began to ascend above the clouds.	热气球慢慢上升。	The hot air balloon slowly ascended.	登山者慢慢上升，终于到达了山顶。	The mountain climbers slowly ascended and finally reached the summit.
上升	shàng shēng	verb, verbal noun		to rise	L5	气温正在上升。	The temperature is rising.	物价不断上升。	Prices keep rising.	他的成绩上升了很多。	His grades have risen a lot.
上下	shàng xià	directional word, noun, numeral, verb		up and down	L5	电梯上下运动。	The elevator moves up and down.	她上下看了看那件衣服。	She looked the garment up and down.	球上下弹跳。	The ball bounces up and down.
上涨	shàng zhǎng	verb, verbal noun		to rise	L5	今年房租又上涨了。	Rent rose again this year.	油价上涨影响了很多人。	The rise in oil prices affected many people.	那家公司的价格快速上涨。	That company's prices rose rapidly.
烧	shāo	verb		to burn	L5	树叶在火中烧了起来。	The leaves started burning in the fire.	他不小心把纸烧掉了。	He accidentally burned the paper.	木头在烧，发出烟。	The wood is burning, giving off smoke.
烧	shāo	verb		to run a fever	L5	孩子烧了，要去看医生。	The child is running a fever and needs to see a doctor.	她烧到三十九度了。	She has a fever of 39 degrees.	他感冒了，一直在烧。	He has a cold and has been running a fever.
烧烤	shāo kǎo	verbal noun, verb		to barbecue	L5	他们周末去烧烤了。	They went barbecuing on the weekend.	我们在院子里烧烤肉。	We barbecued meat in the yard.	烧烤是夏天最受欢迎的活动。	Barbecuing is the most popular activity in summer.
蛇	shé	noun	条	snake	L5	草地上有一条蛇。	There is a snake in the grass.	她很怕蛇。	She is very afraid of snakes.	这条蛇不危险。	This snake is not dangerous.
舍不得	shě bu de	verb		to be loath to part with	L5	他舍不得离开家乡。	He is loath to leave his hometown.	妈妈舍不得扔掉旧照片。	Mom is loath to throw away old photos.	她舍不得和朋友分开。	She is loath to part with her friends.
舍得	shě de	verb		to be willing to (part with something or someone)	L5	他舍得花时间帮助别人。	He is willing to spend time helping others.	你舍得把这个送给我吗？	Are you willing to give this to me?	她舍得花钱买好的东西。	She is willing to spend money on good things.
舍得	shě de	verb		to not grudge	L5	他舍得把最好的东西分给朋友。	He does not grudge sharing his best things with friends.	她舍得把最好的给孩子。	She does not grudge giving the best to her child.	他舍得把最好的机会让给别人。	He does not grudge giving the best opportunity to others.
设备	shè bèi	noun	个	equipment	L5	工厂买了一个新设备。	The factory bought a new piece of equipment.	这个设备坏了，需要修理。	This equipment is broken and needs to be repaired.	实验室里有很多先进设备。	The laboratory has a lot of advanced equipment.
设计	shè jì	verb, verbal noun		to design	L5	她设计了一件漂亮的衣服。	She designed a beautiful piece of clothing.	他设计了这栋大楼。	He designed this building.	这个标志是谁设计的？	Who designed this logo?
设计	shè jì	verb, verbal noun		to plan	L5	他们提前设计好了活动的流程。	They planned out the event's procedure in advance.	我们需要设计好每一步。	We need to carefully plan each step.	她提前设计好了旅行路线。	She planned the travel route in advance.
设立	shè lì	verb		to establish	L5	他们设立了一个新奖项。	They established a new award.	学校设立了奖学金制度。	The school established a scholarship system.	这个机构是十年前设立的。	This institution was established ten years ago.
设立	shè lì	verb		to set up	L5	政府在这里设立了一所学校。	The government set up a school here.	公司在北京设立了分部。	The company set up a branch in Beijing.	他们在社区设立了一个中心。	They set up a center in the community.
设施	shè shī	noun		facility	L5	这个体育馆设施很好。	This gymnasium has very good facilities.	学校的设施需要更新。	The school's facilities need to be updated.	这个小镇的医疗设施不足。	This small town lacks adequate medical facilities.
设施	shè shī	noun		installation	L5	机场的安全设施很完善。	The airport's security installations are very complete.	工程师检查了所有的设施。	The engineer inspected all the installations.	这里的供水设施很旧了。	The water supply installations here are very old.
设置	shè zhì	verb, verbal noun		to set up	L5	他们在路口设置了红绿灯。	They set up traffic lights at the intersection.	公司在大楼里设置了安全门。	The company set up security doors in the building.	工厂在门口设置了一个安全检查站。	The factory set up a security checkpoint at the entrance.
社区	shè qū	noun		community	L5	他们积极参与社区活动。	They actively participate in community activities.	这个社区很安全，居民很友好。	This community is very safe and the residents are friendly.	社区里开了一个新图书馆。	A new library opened in the community.
摄影	shè yǐng	verb, verbal noun		photography	L5	她学习摄影已经两年了。	She has been studying photography for two years.	他的摄影作品非常有名。	His photography works are very famous.	摄影需要好的相机和技术。	Photography requires a good camera and skill.
伸	shēn	verb		to extend	L5	他把手伸进口袋里。	He reached his hand into his pocket.	树枝向外伸去。	The tree branch extended outward.	他把头向前伸。	He extended his head forward.
伸	shēn	verb		to stretch	L5	他伸手去拿书。	He stretched out his hand to get the book.	猫伸出爪子抓东西。	The cat stretched out its claws to grab things.	她伸了个懒腰。	She stretched lazily.
身材	shēn cái	noun		build	L5	她的身材很好，很健康。	She has a good build and is very healthy.	他练健身是为了改善身材。	He exercises to improve his build.	这个运动员身材高大。	This athlete has a tall, large build.
身份	shēn fèn	noun		dignity	L5	这种行为有损他的身份。	This kind of behavior harms his dignity.	作为老师，要注意自己的身份。	As a teacher, one must be mindful of one's dignity.	他认为这件事不符合他的身份。	He felt this matter did not suit his dignity.
身份	shēn fèn	noun		identity	L5	他证明了自己的真实身份。	He proved his true identity.	警察检查了他的身份证。	The police checked his identity card.	她的身份还不清楚。	Her identity is still unclear.
深度	shēn dù	noun		depth	L5	这个湖的深度有十米。	The depth of this lake is ten meters.	我们检查了水的深度。	We checked the depth of the water.	工人测量了地基的深度。	The workers measured the depth of the foundation.
深厚	shēn hòu	adjective		deep	L5	他们之间有深厚的友情。	They share a deep friendship.	她对家乡有深厚的感情。	She has deep feelings for her hometown.	两国之间有深厚的文化联系。	The two countries share deep cultural ties.
深刻	shēn kè	adjective, adverbial adjective		deep	L5	这首诗的意思很深刻。	The meaning of this poem is very deep.	他的话给我留下了深刻的印象。	His words left a deep impression on me.	这个故事的道理很深刻。	The lesson of this story is very deep.
深刻	shēn kè	adjective, adverbial adjective		profound	L5	他对这个问题有深刻的理解。	He has a profound understanding of this issue.	这本书包含深刻的思想。	This book contains profound ideas.	这次经历让她有深刻的感悟。	This experience gave her profound insights.
深入	shēn rù	verb, adverbial adjective, adjective		to penetrate deeply	L5	他深入研究了这个问题。	He conducted an in-depth study of this problem.	记者深入农村采访了居民。	The journalist went deep into the countryside to interview residents.	我们要深入了解这件事。	We need to gain a deep understanding of this matter.
深远	shēn yuǎn	adjective		far-reaching	L5	这个决定有深远的影响。	This decision has a far-reaching influence.	改革的意义十分深远。	The significance of the reform is very far-reaching.	这项发明对社会有深远的意义。	This invention has far-reaching significance for society.
深远	shēn yuǎn	adjective		far-reaching and lasting	L5	这段历史对文化有深远的影响。	This period of history has a long-lasting influence on culture.	这项政策的意义十分深远，影响了几代人。	The significance of this policy is very far-reaching and lasting, affecting several generations.	两国之间的合作关系深远而持久。	The cooperative relationship between the two countries is far-reaching and lasting.
神话	shén huà	noun		myth	L5	他给孩子讲了一个神话故事。	He told the children a myth.	这个神话流传了很多年。	This myth has been passed down for many years.	中国有很多古老的神话。	China has many ancient myths.
神话	shén huà	noun		mythology	L5	中国神话是一套关于神灵和英雄的故事体系。	Chinese mythology is a system of stories about gods and heroes.	希腊神话包含了很多关于神和英雄的故事。	Greek mythology contains many stories about gods and heroes.	他认为神话只是人们想象的故事。	He believes myths are just stories people imagined.
神秘	shén mì	adjective, adjective-noun, adverbial adjective		mysterious	L5	这个地方很神秘，没人知道里面有什么。	This place is mysterious; no one knows what is inside.	他说话的方式有点神秘。	The way he speaks is a bit mysterious.	这件事情让人觉得神秘。	This matter feels mysterious.
神秘	shén mì	adjective, adjective-noun, adverbial adjective		mystical	L5	他们在森林里看到了神秘的光。	They saw a mystical light in the forest.	这个活动有神秘的意义。	This activity has mystical meaning.	古代人认为很多自然现象是神秘的。	Ancient people believed many natural phenomena were mystical.
升	shēng	verb, classifier		liter	L5	这瓶水有一升。	This bottle of water holds one liter.	汽车需要加几升油？	How many liters of gas does the car need?	他喝了半升牛奶。	He drank half a liter of milk.
升	shēng	verb, classifier		to promote (to a higher job)	L5	他被升为经理。	He was promoted to manager.	她因为表现好被升为组长了。	She was promoted to team leader because of her good performance.	公司决定升他为部门主任。	The company decided to promote him to department head.
升	shēng	verb, classifier		to rise	L5	太阳从东方升起。	The sun rises in the east.	热气球慢慢地升起来。	The hot air balloon slowly rises.	温度在白天慢慢升高。	The temperature gradually rises during the day.
升级	shēng jí	verb, verbal noun		to escalate	L5	两国之间的矛盾在升级。	The conflict between the two countries is escalating.	战场上的局势正在升级，双方伤亡增加。	The situation on the battlefield was escalating, with casualties rising on both sides.	双方的矛盾不断升级，很难解决。	The conflict between the two sides keeps escalating and is hard to resolve.
升级	shēng jí	verb, verbal noun		to go up in level	L5	他今年升级了，从初中升到高中。	He went up a level this year, from middle school to high school.	这个游戏需要努力练习才能升级。	You need to practice hard to go up in level in this game.	她的汉语水平已经升级了。	Her Chinese level has gone up.
升温	shēng wēn	verb, verbal noun		to heat up	L5	夏天天气升温很快。	The weather heats up quickly in summer.	两国关系在升温。	Relations between the two countries are heating up.	经济形势开始升温。	The economic situation is starting to heat up.
生产	shēng chǎn	verbal noun, verb		to give birth to a child	L5	她上个月生产了，是个女儿。	She gave birth to a child last month — a daughter.	医院里每天有很多妈妈生产。	Many mothers give birth in the hospital every day.	她生产的时候很顺利。	She gave birth smoothly.
生产	shēng chǎn	verbal noun, verb		to produce	L5	这个工厂生产汽车。	This factory produces cars.	中国每年生产大量的手机。	China produces a large number of phones every year.	这里生产的茶叶很有名。	The tea produced here is very famous.
生存	shēng cún	verb, verbal noun		to survive	L5	沙漠里的动物知道如何生存。	Animals in the desert know how to survive.	在那么冷的地方，人很难生存。	It is very difficult for people to survive in such a cold place.	他在山里生存了三天。	He survived in the mountains for three days.
生动	shēng dòng	adjective, adverbial adjective		vivid	L5	他的描述非常生动，让人感觉身临其境。	His description was very vivid, making people feel as if they were there.	这个故事写得很生动。	This story is written in a very vivid way.	老师的讲课很生动。	The teacher's lessons are very vivid.
生物	shēng wù	noun	个	organism	L5	海洋里有很多不同的生物。	There are many different organisms in the ocean.	科学家发现了一个新的生物。	Scientists discovered a new organism.	这个生物非常小，看不见。	This organism is very small and invisible to the eye.
生肖	shēng xiào	noun	个	Chinese zodiac sign	L5	你的生肖是什么？	What is your Chinese zodiac sign?	中国有十二个生肖。	China has twelve zodiac signs.	我的生肖是龙。	My zodiac sign is the dragon.
生长	shēng zhǎng	verb, verbal noun		to grow	L5	植物在阳光下生长。	Plants grow in sunlight.	孩子们生长得很快。	Children grow very quickly.	这棵树需要水才可以生长。	This tree needs water to be able to grow.
省份	shěng fèn	noun	个	province	L5	中国有多少个省份？	How many provinces does China have?	他来自中国南方的一个省份。	He comes from a province in southern China.	每个省份都有自己的文化特点。	Each province has its own cultural characteristics.
省会	shěng huì	noun	个	provincial capital city	L5	成都是四川省的省会。	Chengdu is the provincial capital of Sichuan.	我们明天要去这个省会参加会议。	We are going to the provincial capital tomorrow for a meeting.	每个省都有一个省会城市。	Every province has one provincial capital city.
胜	shèng	verb, morpheme		to be victorious	L5	我们队在比赛中胜了。	Our team was victorious in the competition.	他们胜了对手，很高兴。	They were victorious over their opponent and were very happy.	他在象棋比赛中胜了对手。	He was victorious over his opponent in the chess competition.
胜	shèng	verb, morpheme		to defeat	L5	他们以三比一胜了对方。	They defeated the opponent three to one.	我们胜了比赛，拿了第一名。	We defeated our opponents in the competition and came first.	这支队以两分之差胜了对手。	This team defeated their opponent by two points.
胜利	shèng lì	verb, verbal noun, proper noun (other)	个	victory	L5	他们获得了一个重要的胜利。	They achieved an important victory.	这场胜利来之不易。	This victory did not come easily.	球队庆祝了他们的胜利。	The team celebrated their victory.
失恋	shī liàn	verb		to fail in love; to be jilted	L5	他失恋了，很久都无法接受对方不喜欢自己。	He was jilted and could not accept for a long time that the other person did not like him.	她失恋后一直闷闷不乐。	After being jilted, she was in low spirits for a long time.	朋友陪他度过了失恋的时期。	Friends accompanied him through the heartbreak.
失眠	shī mián	verb, verbal noun		to suffer from insomnia	L5	他最近工作压力大，开始失眠。	He has been under a lot of work pressure recently and started suffering from insomnia.	她失眠了好几个晚上。	She has suffered from insomnia for several nights.	医生说他失眠是因为太紧张。	The doctor said his insomnia is because he is too stressed.
失误	shī wù	verbal noun, verb		mistake	L5	这次失误让比赛结果改变了。	This mistake changed the outcome of the competition.	他承认了自己的失误。	He admitted his mistake.	这是一个不应该有的失误。	This is a mistake that should not have happened.
失业	shī yè	verb, verbal noun		to lose one's job	L5	他因为公司关闭而失业了。	He lost his job because the company closed.	很多人在经济困难时期失业。	Many people lost their jobs during the period of economic difficulty.	她失业后积极寻找新工作。	After losing her job, she actively looked for a new one.
诗	shī	noun		poem	L5	他写了一首关于春天的诗。	He wrote a poem about spring.	这首诗的意思很美。	The meaning of this poem is very beautiful.	老师让我们背一首诗。	The teacher asked us to memorize a poem.
诗人	shī rén	noun		poet	L5	李白是中国著名的诗人。	Li Bai is a famous Chinese poet.	这位诗人写了很多好诗。	This poet wrote many good poems.	她从小就想成为诗人。	She has wanted to become a poet since childhood.
湿	shī	adjective, verb		wet	L5	下雨后地面很湿。	The ground is very wet after it rains.	他的衣服被汗水弄湿了。	His clothes were soaked with sweat.	这件衣服是湿的，不能穿。	This clothing is wet and cannot be worn.
石头	shí tou	noun	块	stone	L5	他捡起了一块石头。	He picked up a stone.	路上有很多石头，走路要小心。	There are many stones on the road; be careful when walking.	孩子们用石头在地上画画。	The children drew on the ground with stones.
时差	shí chā	noun	个	time difference; jet lag	L5	中国和美国的时差很大。	The time difference between China and the US is very large.	我刚从欧洲回来，还没倒过时差。	I just got back from Europe and haven't gotten over the jet lag yet.	北京和纽约的时差是十三个小时。	The time difference between Beijing and New York is thirteen hours.
时常	shí cháng	adverb		often	L5	他时常去图书馆看书。	He often goes to the library to read.	她时常想起家乡。	She often thinks of her hometown.	我时常锻炼身体。	I often exercise.
时代	shí dài	noun		age	L5	我们现在生活在科技时代。	We now live in the age of technology.	那个时代没有电视。	There was no television in that age.	每个时代都有自己的特点。	Every age has its own characteristics.
时刻	shí kè	noun, adverb	个, 段	constantly	L5	他时刻准备好帮助别人。	He is constantly ready to help others.	她时刻关心着孩子的安全。	She is constantly concerned about her child's safety.	我们时刻要记住自己的责任。	We must constantly remember our responsibilities.
时刻	shí kè	noun, adverb	个, 段	moment	L5	那个时刻，他非常开心。	At that moment, he was very happy.	这是我一生中最重要的时刻。	This is the most important moment of my life.	她盼望着孩子出生的那个时刻。	She looked forward to the moment her child would be born.
时期	shí qī	noun	个	period of time	L5	他在学生时期学习很努力。	He studied very hard during his student years.	改革开放时期，中国经济快速发展。	During the period of reform and opening up, China's economy developed rapidly.	这个时期对他影响很大。	This period of time had a great influence on him.
实行	shí xíng	verb		to implement	L5	学校实行了新的考试制度。	The school implemented a new examination system.	公司实行了新的工作时间安排。	The company implemented a new working hours arrangement.	政府实行了价格改革。	The government implemented a price reform.
实践	shí jiàn	verb, verbal noun		to put into practice	L5	他把学到的知识在工作中实践。	He puts the knowledge he has learned into practice at work.	理论要和实践结合起来。	Theory must be combined with putting things into practice.	我们要把理论付诸实践。	We need to put theory into practice.
实力	shí lì	noun		strength	L5	这支球队的实力很强。	This team's strength is very great.	他靠实力赢了比赛。	He won the competition through his strength.	两支队伍的实力差不多。	The strength of the two teams is about the same.
实施	shí shī	verb, verbal noun		to implement	L5	政府实施了新的环保法规。	The government implemented new environmental regulations.	公司实施了更严格的安全措施。	The company implemented stricter safety measures.	他们实施了减少污染的方案。	They implemented a plan to reduce pollution.
实施	shí shī	verb, verbal noun		to put into effect	L5	新的交通规定已经开始实施。	The new traffic regulations have started to be put into effect.	新计划下个月开始实施。	The new plan will be put into effect next month.	这项政策从明年起正式实施。	This policy will be officially put into effect starting next year.
实习	shí xí	verbal noun, verb		to intern	L5	她在一家公司实习了三个月。	She interned at a company for three months.	大学生暑假可以去实习。	College students can intern during the summer holiday.	实习让他学到了很多实际经验。	Interning gave him a lot of practical experience.
实现	shí xiàn	verb, verbal noun		to achieve	L5	他实现了成为医生的目标。	He achieved his goal of becoming a doctor.	她通过努力实现了成功。	She achieved success through hard work.	我们的团队实现了所有目标。	Our team achieved all its goals.
实现	shí xiàn	verb, verbal noun		to realize	L5	她终于实现了自己的梦想。	She finally realized her dream.	只有努力才可以实现目标。	You can only realize your goals through hard work.	这个计划还没有实现。	This plan has not yet been realized.
实验	shí yàn	verbal noun, noun, verb	个, 次	experiment	L5	科学家做了一个新的实验。	The scientist conducted a new experiment.	这个实验需要很多时间。	This experiment takes a lot of time.	实验的结果让人很吃惊。	The results of the experiment were very surprising.
实验室	shí yàn shì	noun	间	laboratory	L5	他在实验室里工作了很多年。	He has worked in the laboratory for many years.	这间实验室很大，有很多设备。	This laboratory is very large and has a lot of equipment.	学生每周在实验室上一次课。	Students have one class in the laboratory each week.
实用	shí yòng	adjective, verbal noun		functional	L5	这个设计很实用，不只是好看。	This design is very functional, not just good-looking.	他更喜欢实用的东西。	He prefers functional things.	这种家具很实用，放哪里都合适。	This type of furniture is very functional and suitable anywhere.
实用	shí yòng	adjective, verbal noun		practical	L5	这个工具很实用，用起来很方便。	This tool is very practical and convenient to use.	她选礼物时喜欢选实用的。	When choosing gifts, she likes to choose practical ones.	这个方法很实用，而且效果好。	This method is very practical and also effective.
食用	shí yòng	verb, verbal noun		edible	L5	这种蘑菇是食用的，可以吃。	This type of mushroom is edible and can be eaten.	不是所有的植物都是食用的。	Not all plants are edible.	这种油是食用油，用来做饭。	This type of oil is edible oil, used for cooking.
使得	shǐ de	verb		feasible	L5	这个计划使得，可以开始执行。	This plan is feasible and can be carried out.	他说这件事使得，我们就去做吧。	He said this matter is feasible, so let's do it.	这样做使得吗？你觉得呢？	Is doing it this way feasible? What do you think?
使得	shǐ de	verb		to cause	L5	大雨使得路上无法行车。	The heavy rain caused cars to be unable to drive on the road.	他的离开使得大家很难过。	His departure caused everyone to be very sad.	这次事故使得很多人受伤。	This accident caused many people to be injured.
使得	shǐ de	verb		to make	L5	这个消息使得大家很高兴。	This news made everyone very happy.	天气变冷使得很多人生病。	The cold weather made many people sick.	他的错误使得整个计划失败了。	His mistake made the entire plan fail.
使得	shǐ de	verb		usable	L5	这把钥匙使得，可以开门。	This key is usable and can open the door.	这台旧电脑还使得。	This old computer is still usable.	这个方法使得，你可以试试。	This method is usable; you can try it.
始终	shǐ zhōng	adverb, noun		from beginning to end	L5	他始终没有放弃自己的理想。	He never gave up his ideals from beginning to end.	她始终对工作认真负责。	She has been responsible and serious about work from beginning to end.	他始终记得老师对他说的话。	He has remembered from beginning to end what his teacher said to him.
市民	shì mín	noun		city resident	L5	市民们积极参与了社区活动。	City residents actively participated in community activities.	这个新公园让很多市民都很高兴。	This new park makes many city residents very happy.	市民可以免费使用图书馆。	City residents can use the library for free.
式	shì	suffix, morpheme		form	L5	中文有陈述式和疑问式。	Chinese has declarative form and interrogative form.	这是西式的装修风格。	This is a Western-style decoration.	新式手机越来越薄。	New-style phones are getting thinner and thinner.
似的	shì de	particle		seems as if	L5	他高兴得像要跳起来似的。	He is so happy it seems as if he's about to jump up.	外面冷得像冬天似的。	It's cold outside as if it were winter.	她难过得快哭了似的。	She seems as if she's about to cry.
似乎	sì hū	adverb		to appear as if	L5	他似乎没听见我说的话。	It appears as if he didn't hear what I said.	这里似乎没有人住。	It appears as if no one lives here.	她似乎早就知道了。	It appears as if she already knew.
似乎	sì hū	adverb		to seem	L5	他似乎不太高兴。	He seems unhappy.	她似乎忘了这件事。	She seems to have forgotten this matter.	天气似乎要变了。	The weather seems to be changing.
事故	shì gù	noun	桩, 起, 次	accident	L5	昨天发生了一起交通事故。	A traffic accident occurred yesterday.	这次事故造成了很大损失。	This accident caused great losses.	那桩事故让大家都很担心。	That accident worried everyone.
事件	shì jiàn	noun	个	event	L5	这是一个重要的历史事件。	This is an important historical event.	这个事件影响了很多人。	This event affected many people.	大家都在关注这个事件。	Everyone is paying attention to this event.
事件	shì jiàn	noun	个	incident	L5	这个事件让全国人民震惊。	This incident shocked the entire nation.	警察正在调查这个事件。	The police are investigating this incident.	那个事件发生在十年前。	That incident happened ten years ago.
事实	shì shí	noun	个	fact	L5	这是一个不可改变的事实。	This is an unchangeable fact.	事实证明他是对的。	The facts prove he was right.	我们要面对这个事实。	We must face this fact.
事物	shì wù	noun	个	thing	L5	世界上有很多事物我们不了解。	There are many things in the world we don't understand.	新事物总是让人感兴趣。	New things always interest people.	每个事物都有两面。	Everything has two sides.
事先	shì xiān	adverb		in advance	L5	请事先告诉我你要来。	Please tell me in advance that you're coming.	我们事先做好了准备。	We made preparations in advance.	事先了解情况很重要。	It's important to understand the situation in advance.
事先	shì xiān	adverb		prior	L5	事先通知是必要的。	Prior notice is necessary.	他没有事先说明原因。	He gave no prior explanation of the reason.	事先的计划帮助了我们。	The prior plan helped us.
事业	shì yè	noun	个	career	L5	她的事业发展得很好。	Her career is developing well.	他为了事业放弃了很多。	He gave up a lot for his career.	这是他一生的事业。	This is the career of his lifetime.
事业	shì yè	noun	个	cause	L5	保护环境是大家的事业。	Protecting the environment is everyone's cause.	他为这个事业奋斗了多年。	He has fought for this cause for many years.	教育是伟大的事业。	Education is a great cause.
事业	shì yè	noun	个	undertaking	L5	建设学校是重要的事业。	Building schools is an important undertaking.	这项事业需要很多资金。	This undertaking requires a lot of funding.	他们共同完成了这项事业。	They completed this undertaking together.
试卷	shì juàn	noun	份, 张	examination paper	L5	老师把试卷发给学生。	The teacher handed out the examination papers to the students.	他仔细检查了一份试卷。	He carefully checked one examination paper.	这张试卷很难。	This examination paper is very difficult.
试卷	shì juàn	noun	份, 张	test paper	L5	老师正在批改试卷。	The teacher is marking the test papers.	这份试卷满分是一百分。	The full score of this test paper is 100 points.	他把试卷交给了老师。	He handed the test paper to the teacher.
试验	shì yàn	verbal noun, verb	次, 个	experiment	L5	科学家做了很多次试验。	The scientists conducted many experiments.	这个试验结果很令人惊喜。	The result of this experiment is very surprising.	他们在实验室里做试验。	They conduct experiments in the laboratory.
试用	shì yòng	verb, verbal noun		to try something or someone out	L5	公司决定试用这个新方法。	The company decided to try out this new method.	他们先试用了一个月。	They tried it out for one month first.	新员工需要先试用三个月。	New employees need to be tried out for three months first.
视为	shì wéi	verb		to regard as	L5	我们把他视为朋友。	We regard him as a friend.	她把学习视为最重要的事。	She regards studying as the most important thing.	他们把对方视为兄弟。	They regard each other as brothers.
适当	shì dàng	adjective, adverbial adjective		appropriate	L5	你需要找一个适当的时间说。	You need to find an appropriate time to say it.	他给出了适当的回答。	He gave an appropriate answer.	这个方法不太适当。	This method is not very appropriate.
适当	shì dàng	adjective, adverbial adjective		proper	L5	请穿着适当的衣服参加会议。	Please wear proper clothing to attend the meeting.	他的做法非常适当。	His approach is very proper.	这里需要适当的安排。	Proper arrangements are needed here.
适用	shì yòng	verb, adjective, verbal noun		to be applicable	L5	这条规定对所有人都适用。	This regulation is applicable to everyone.	这个方法在这里也适用。	This method is applicable here too.	这个规则广泛适用。	This rule is widely applicable.
收获	shōu huò	noun, verb, verbal noun		gains	L5	这次旅行让我有很大的收获。	This trip gave me great gains.	他的收获比我多。	His gains are more than mine.	学习总会有收获。	Studying always brings gains.
收获	shōu huò	noun, verb, verbal noun		rewards	L5	这次比赛的收获很大。	The rewards from this competition were great.	他对工作的收获感到满意。	He is satisfied with the rewards of his work.	努力工作才会有好的收获。	Hard work leads to good rewards.
收获	shōu huò	noun, verb, verbal noun		to harvest	L5	农民在秋天收获苹果和蔬菜。	Farmers harvest apples and vegetables in autumn.	今年我们收获了很多苹果。	This year we harvested a lot of apples.	到了秋天，农民开始收获。	When autumn arrives, farmers begin to harvest.
收集	shōu jí	verb, verbal noun		to gather	L5	他到处收集资料。	He gathers information everywhere.	我们要收集更多的数据。	We need to gather more data.	请帮我收集相关信息。	Please help me gather relevant information.
收看	shōu kàn	verb, verbal noun		to tune in	L5	请收看我们的节目。	Please tune in to our program.	你能收看这个节目吗？	Can you tune in to this program?	明天记得收看这个节目。	Remember to tune in to this program tomorrow.
收看	shōu kàn	verb, verbal noun		to watch TV	L5	他每天晚上收看新闻。	He watches TV news every evening.	很多人喜欢收看体育节目。	Many people like to watch TV sports programs.	请收看今晚的直播。	Please watch tonight's live TV broadcast.
手段	shǒu duàn	noun	个	means	L5	他通过合法手段解决了问题。	He resolved the problem through legal means.	我们要用正确的手段来完成目标。	We should use the right means to achieve our goals.	这个手段非常有效。	This means is very effective.
手工	shǒu gōng	noun, adverb		done by hand	L5	这件毛衣是手工做的。	This sweater is done by hand.	手工制作的东西更有价值。	Things done by hand have more value.	她喜欢手工制作礼物。	She likes to make handmade gifts.
手术	shǒu shù	noun, verb, verbal noun	个	(surgical) operation	L5	医生说他需要做一个手术。	The doctor said he needs to have a surgical operation.	手术进行了三个小时。	The operation lasted three hours.	手术后他的身体恢复得很好。	He recovered well after the operation.
手套	shǒu tào	noun	双, 只	glove	L5	冬天要戴手套，不然手会很冷。	In winter you should wear gloves, otherwise your hands will get very cold.	她买了一双手套。	She bought a pair of gloves.	他找不到那只手套了。	He can't find that one glove.
手续	shǒu xù	noun	道, 个	formalities	L5	入学需要完成相关手续。	Enrollment requires completing relevant formalities.	这些手续要花不少时间。	These formalities take quite a bit of time.	他已经办完了所有手续。	He has already completed all the formalities.
